wedgeStart	wedgeSize	ringStart	ringSize
0	45	2.66	0.66
45	45	2.66	0.66
90	45	2.66	0.66
135	45	2.66	0.66
180	45	2.66	0.66
225	45	2.66	0.66
270	45	2.66	0.66
315	45	2.66	0.66
45	45	3.32	0.82
90	45	3.32	0.82
135	45	3.32	0.82
180	45	3.32	0.82
225	45	3.32	0.82
270	45	3.32	0.82
315	45	3.32	0.82
0	45	3.32	0.82
0	45	4.14	1.02
45	45	4.14	1.02
90	45	4.14	1.02
135	45	4.14	1.02
180	45	4.14	1.02
225	45	4.14	1.02
270	45	4.14	1.02
315	45	4.14	1.02
45	45	5.16	1.27
90	45	5.16	1.27
135	45	5.16	1.27
180	45	5.16	1.27
225	45	5.16	1.27
270	45	5.16	1.27
315	45	5.16	1.27
0	45	5.16	1.27
0	45	6.43	1.59
45	45	6.43	1.59
90	45	6.43	1.59
135	45	6.43	1.59
180	45	6.43	1.59
225	45	6.43	1.59
270	45	6.43	1.59
315	45	6.43	1.59
45	45	8.02	1.98
90	45	8.02	1.98
135	45	8.02	1.98
180	45	8.02	1.98
225	45	8.02	1.98
270	45	8.02	1.98
315	45	8.02	1.98
0	45	8.02	1.98
